Tweet_lemmatized
"['sarahjackson', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['londongirl', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['toomanee', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['johnandersonn', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['derwood', 'wed', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['cursedblessed', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['preciousgatmai', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['keepshiningolly', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['masterfuimimi', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['wadesnowden', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['naturalnadine', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['luissanchezvera', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['mpignone', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['quitenicole', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['juscheckin', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['shontaestanley', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['melaninsfinest', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['lgaloreeeee', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['ibequeque', 'meekmill', 'love', 'share', 'gratitude', 'follow', 'dm']"
"['tagging', 'friend', 'spread', 'gratitude', 'shakira', 'mariahcarey', 'zionwilliamson', 'rickygervais…', 'httpstcorwhpmhaq']"
"['tweet', '👏', 'amazing', 'healthcare', 'worker', 'world\n\n👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏…', 'httpstcobiucosrmn']"
"['latest', 'information', 'follow', 'twitter', 'list', 'official', 'local', 'health', 'organization', 'around…', 'httpstcohmcikgkmx']"
"['good', 'mental', 'health', 'tips\nhttpstcojgjeqcni']"
"['expect', 'vaccine\nhttpstcovcvxzd']"
"['face', 'mask', 'effective\nhttpstcoxdmtrrfycr']"
"['normal', 'laundry', 'washing', 'rid', 'covid\nhttpstcocmadtkrubl']"
"['covid', 'die', 'warmer', 'months\nhttpstcowgmzbqz']"
"['supply', 'hand', 'area', 'lockdown\nhttpstcovrhxyrxhpm']"
"['exercise', 'outside\nhttpstcohqscwvbnae']"
"['physical', 'distancing', 'mean\nhttpstcopakrs']"
"['test', '\nhttpstcoebutvlfvt']"
"['covid', 'symptoms\nhttpstcoambrwtrxh']"
"['covid', 'treated\nhttpstcocmjgibkxt']"
"['young', 'people', 'infected\nhttpstcojteuitfgg']"
"['symptom', 'covid', 'treatment', 'versus', 'stay', 'home\nhttpstcojzrjidkha']"
"['prevent', 'covid', 'family', 'safe\nhttpstcousgiqrapt']"
"['past', 'week', '', 'million', 'question', 'tweeted', 'coronaviruscovid', 'for…', 'httpstcoiwevxxxtl']"
"['ryanlouie', 'gif', 'section', 'brain', 'spinning']"
"['freemago', 'turn', 'camera']"
"['indiicreates', 'stylist']"
"['pescaracalcio', 'dolphin', 'swimming', 'water']"
"['fastestbrowser', 'tweet', 'load', 'lucky', 'guess']"
"['tomuchtooask', 'paul', 'rudd', 'bday', 'today']"
"['biwx', 'stay', 'active', 'inside', 'tiny', 'room']"
"['dreamgirlsavi', 'watch', 'tiger', 'king']"
"['ipraveendixit', 'pajama', 'day']"
"['ibdwr', 'thought', 'dog', 'lead', 'thought', 'dog', 'lead', 'thought', 'dog', 'lead', 'thought', 'dog']"
"['malaytripathi', 'day']"
"['xsqoof', 'resorted', 'setting', 'alarm', 'change', 'position']"
"['zxmbiegrrl', 'deserve', 'bed', 'comfy']"
"['manishrath', 'day', 'mood']"
"['mood', 'check', 'gifs']"
['march']
"['💙', 'nationaldoctorsday']"
"['thanthanli', '🌴', '🌴', '🌊', '🌊🏄\u200d♂', '', '🌊', '⛱️🌴🌴']"
"['soexyasid', 'sending', 'positive', 'energy']"
"['odioxa', 'httpstcojdugnfzjax']"
"['graceadeniyi', 'good', 'day', 'today']"
"['zaru', '🌹', '🌷', '💐', '🌼', '🌺']"
"['btsworlddom', '💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜']"
"['superrhl', 'washing', 'hand']"
"['lovesidheart', '💙']"
"['interwale', '🤗']"
"['naserhianne', '', 'care', 'yourself\n', 'wash', 'hands\n', 'check', 'people', 'love\n', 'forward']"
"['ytafiyajnr', 'dan']"
"['nellybelle', '🙂']"
"['celestineirene', 'httpstcochiminerm']"
"['connorbroooks', 'reply', 'west', 'ham', 'today']"
"['dexconnected', 'high', '👋']"
"['sobsoil', '', 'ft']"
"['\nwho', 'give', '\n\ntwitterdoyourthing']"
"['carolineoreo', 'honestly', 'wanted']"
"['litskinayo', 'turn', 'person', 'tweeting', 'inside', 'head']"
"['alicegoldfuss', 'remember']"
"['cryingyoon', 'yeah', 'give', 'confidence', 'tweeting']"
"['illustjuan', 'meme', 'stay', 'meme']"
"['tobiomine', 'couldve', 'sworn']"
"['bxsel', 'twitter', 'user', 'bxsel', 'made', 'decision']"
['pappykojo']
"['taesqueenuwu', 'jungkook', 'artist']"
"['liljayk', 'imagine', 'shed', 'feel', 'bookmark']"
['iammystiquee']
"['abknyt', 'mad']"
"['yyangg', 'accurate']"
"['schnikkerdoodle', 'ikr']"
"['lildedjanet', 'fails', 'dm']"
"['mitiraofficial', 'np']"
"['victorkagarama', 'tysm']"
"['thetophatlad', 'exposed']"
"['manejahh', 'manner', 'wild', 'concept']"
['tadasunshine']
"['jfalls', 'steer', 'wrong']"
"['mabindzu', 'confusing', 'ty', 'alien', 'friend', 'named', 'ty']"
"['fiameemperor', 'great', 'supervise']"
"['whosgotacrush', 'people', 'type', 'work', 'email', 'day']"
"['khabraar', 'retired', 'gps', 'phone']"
"['pocketstoosumo', 'thankful']"
"['danishculeish', 'favor']"
['taystitute']
"['troplcalshirt', '👉🏻👈🏻🥺']"
"['mamignr', 'make', 'level', 'love']"
"['svtsnana', 'nana', 'laugh', 'tweet']"
"['crisianox', 'literally', 'soooo']"
"['—', 'wow', 'owe', 'you\n\nthank', '—', 'literally', 'thanks\n\nty', '—', 'whatever\n\nthx', '—']"
"['theariurena', 'shadow', 'tweet']"
['sjordan']
"['tooni', 'today']"
"['today', 'men']"
"['thespearsdc', 'woman', 'save', 'earth']"
"['rosetintedlass', 'superwoman', 'lothersdalelass']"
"['lizelandia', 'complete', 'family', 'chosen', 'family']"
"['iamanjali', 'powerful', 'true']"
"['libbyexotic', 'love', 'love', 'timeline', '💙💙💙💙💙']"
"['itsclassictim', 'debbydiva']"
['dfbhuddle']
"['jamlinda', 'diellza', '💙']"
"['elik', 'megan', 'rapinoe', 'specifically']"
"['decaracaspues', 'seconded', 'ohmyempanadas']"
"['sailormoonxi', 'ari', 'inspires', 'day']"
"['aoineko', 'iwd', 'poem']"
"['thek', 'privilege']"
"['roboticperry', 'timeline', 'covered']"
"['jujumna', '👑', 'agree']"
"['karenmoyyy', 'woman', 'woman', 'future']"
"['sarapandesss', 'stan', 'queen']"
"['techgangster', 'grateful', 'sdimax']"
"['mrabraham', 'mama']"
"['reputationtodie', 'miss', 'americana']"
"['hammedfaridahh', 'proud', 'ennyolarh']"
"['shevasnufc', 'love', 'woman', 'met', 'twitter']"
"['vhocsingera', 'rosita', 'angela', 'viel', 'amazing']"
"['marcolovatoxo', 'whats', 'wrong', 'confident']"
"['drkaloo', 'aries', 'queen']"
"['standanchev', 'joana', 'deserves', 'world']"
"['lumeirecryst', 'shout']"
"['truap', 'iwd', 'love', 'fam', '💙']"
"['ekehandbag', 'realmercyeke', '👑']"
"['georgesiuver', 'shouting', 'start']"
"['misconstruedude', 'mom']"
"['superrhl', 'truth']"
"['woman', 'life', 'deserve', 'shout']"
['thafnine']
"['memeulous', 'quadruple', 'scorpio', 'rising']"
"['nasapersevere', 'find', 'water']"
"['rt', 'policy', '📢', 'stepping', 'internal', 'amp', 'external', 'effort', 'protect', 'public', 'conversation', 'amp', 'people', 'find', 'authoritative', 'health', 'info…']"
"['android', 'pin', 'it\n\nhttpstcongfkbaag']"
['bobayconner']
"['elenabateman', 'thought']"
"['taekookmoments', 'year']"
"['ririloloarts', 'hola']"
"['lauvsongs', 'twitter', 'introducing', 'twitter']"
"['radtoria', 'proud', 'victoria']"
"['fallingfiower', 'work']"
['jackallisonlol']
"['iamafish', 'reading', 'valid']"
['care']
"['rt', 'twitterwomen', 'women’s', 'history', 'month', 'internationalwomensday', 'corner', 'woman', 'unshakable', 's…']"
['adweinstein']
"['diancrawford', '', 'leap', 'year', 'twitter', 'didnt']"
"['myrabidwonder', 'offer', 'stand']"
"['johnglynn', 'meme', 'year']"
"['xokh', 'congrats']"
"['skyegribb', 'make', 'special']"
['isin']
"['laurenconrad', 'happy', 'year', '', 'tweet']"
"['ashtay', 'hbd', 'leap']"
"['lilymango', 'leap', 'day', '', 'year']"
"['followsso', 'tweet', 'doesnt', 'day', '']"
"['heythererobot', 'tweet', 'count']"
"['dannymo', 'happy', 'birthday', 'tweet']"
"['keeflerelf', 'backup']"
"['crisianox', 'predict']"
"['venablewinters', 'outlook', 'good']"
['melxble']
['meemoott']
"['livingfordisney', 'source']"
['stephpgold']
['yyangg']
"['realjaeflex', 'reply', 'hazy']"
"['deliacazzato', 'sign', 'point']"
['sbfanboyluwi']
['cchimbap']
['contenthoe']
"['problembyme', 'reply']"
['alamlara']
"['inimanusyah', 'concentrate']"
['stixr']
"['jaehyunjisoo', 'outlook', 'good']"
"['imswapnil', 'source']"
['infinitysx']
"['toughonmyself', 'source']"
"['codenamejoshua', 'sign', 'point']"
"['ayumidori', 'sign', 'point']"
"['maduratnacanggu', 'reply']"
"['lukeholden', 'doubtful']"
"['romyberkachy', 'doubtful']"
"['hongtopia', '–']"
"['midnalas', 'decidedly']"
"['exter', 'count']"
"['mccusker', 'count']"
['aftsyd']
['rashahakmi']
"['sathwikkrishnar', 'doubtful']"
['caylenskiwi']
"['lindseylo', 'outlook', 'good']"
"['pajarpeb', 'source']"
"['damonslvtor', 'reply', 'hazy']"
['minsarang']
"['outlook', 'good']"
"['human', 'sign', 'point']"
['agsixfeettall']
"['rosegold', 'concentrate']"
"['august', 'predict']"
"['vraxooo', 'outlook', 'good']"
"['obaofeko', 'sign', 'point']"
['emreyarci']
"['mixershock', 'rely']"
"['onlinee', 'reply', 'hazy']"
['mkyahyaa']
"['geoffdbarrett', 'source']"
['acharinimboo']
['itsmoa']
"['larrytummy', 'rely']"
"['iamdexmond', 'doubt']"
['nellybelle']
['pkblender']
['vscoharryy']
"['zaalyaa', 'count']"
"['lulutrbll', 'reply']"
"['victormiguel', 'outlook', 'good']"
"['forttory', 'count']"
['thechoisoobean']
['hagridfcb']
"['efctxmmy', 'predict']"
"['jungiesego', 'outlook', 'good']"
"['bringdudething', 'sign', 'point']"
"['tommycarrotfly', '–']"
"['svfthobi', 'concentrate']"
"['mrabidur', 'reply', 'hazy']"
"['magic', 'twitter', 'ball', '🔮']"
"['kayagbayani', 'thumbelina', 'born', 'flower', 'thumb']"
"['hegenicc', 'photographic', 'memory', 'retweeting']"
"['kaitlindeanne', 'make', 'normal']"
"['chrisrgun', 'dress', 'tweet', 'remastered']"
"['tessaviolet', 'retweet', '👏', '👏', 'tweet', '👏', '👏', '👏', '👏', 'good', '👏']"
"['cooljulian', 'httpstcohainnvjgwx']"
"['shamethegoat', 'httpstcogvczcizv']"
"['yiqira', 'httpstcobtpirfiq']"
"['allkrleger', 'ashlynharris', 'mpinoe', '👑', 'httpstcotkelghvn']"
"['anirudhdasari', 'interrupting', 'tweeting', 'httpstcoigdelntv']"
"['ayyubidempire', 'purrfect', 'httpstcohjubyur']"
"['aierahx', 'harry', 'pupper', 'put', 'spell', 'httpstcouypvwwlsnz']"
"['mishingallifrey', 'miss', '', 'shot', '', 'wayne', 'gretzky\n', 'michael', 'scott\n', 'twitter', 'httpstcobqcbrefydm']"
"['filterkims', 'paved', 'header', 'httpstcormrjlotu']"
"['greycchristine', 'tweet', 'httpstcopislmge']"
"['imswapnil', 'friend', 'httpstcodznzhryaa']"
"['eeeeeeeeeeeesa', 'cloudy', 'chance', 'header', 'httpstcobqztlbuplv']"
"['oceangfx', 'schedule', 'freak', 'httpstcohmiqqmhohk']"
"['lienyyyspl', 'find', 'tiny', 'bird', 'sunglass', 'httpstcollgcawdl']"
"['shaheeralikha', 'solve', 'proof', 'enter', 'profile', '\n\nqed', 'httpstcowktavban']"
"['yesang', 'httpstcoxlxawajoi']"
"['fansandrapanos', 'httpstconlyykgmavi']"
"['hsftniall', 'couldnt', 'choose', 'httpstcoazicisyhy']"
"['ichbindu', 'httpstcojkojkage']"
"['binhwanpic', 'httpstconzdxia']"
"['judiththejudge', 'httpstconipkmlrfs']"
"['messilizer', 'httpstcogsvhhqgm']"
"['byulsepiphany', 'httpstcokhmtjyha']"
"['empireofthekop', 'httpstcoqapmzwrg']"
"['sapheroo', 'httpstcogphfcmhjw']"
"['filmchani', 'httpstcoxvwrrkne']"
"['jhopecena', 'httpstcovjldl']"
"['pkblender', 'httpstcofwutpntjhc']"
"['michaelseafarer', 'rangersfc', 'ryankent', 'httpstcofflumrt']"
"['iampinecone', 'httpstcololrtdzk']"
"['spongbobfacts', 'httpstcognmwtanee']"
"['carkgirl', 'httpstcouitmqjry']"
"['memealuvzclx', 'httpstcosxrqwhjk']"
"['emanuelsdn', 'httpstcohjcyxtdrq']"
"['taesinnerchildd', 'httpstcovqpctor']"
"['jimtaee', 'httpstcosrhijawnqk']"
"['hyperrwiz', 'httpstcobquhwqsag']"
"['silvr', 'httpstcotlkcisunr']"
"['nissleeping', 'httpstcoakdneubel']"
['header']
['httpstcosjbqijit']
"['saleempapi', 'httpstcocltbszyiz']"
"['shopfencing', 'typing', 'real', 'key', 'funnier']"
"['dailymendeslife', 'pov', 'shawn', 'twitter']"
"['billywaynedavis', 'trait']"
"['comfyjoon', '']"
"['babyzooted', 'close', 'retrograde']"
"['sabrinawxm', 'hope', 'good', 'tweet']"
"['theoctoberman', 'finally', 'figured', 'time', 'travel']"
"['brndvx', 'acting', 'full', 'time', 'job', 'brave']"
"['alannabennett', 'funny', 'tweet']"
"['sprlngtay', 'long', 'mercury', 'credited', 'jalaiah']"
"['lilcitrine', 'twitter']"
"['laussicaxx', 'reaching', 'galaxy']"
"['payneen', 'mercury']"
"['luui', 'brian']"
"['pisceanoracle', 'sign']"
"['itsjustfayaz', 'spoken', 'true', 'capricorn']"
"['manalisharma', 'true', 'shouldnt', 'guy']"
"['vhicadibe', 'earth', 'frozen', 'pizza', 'heated', 'ready', 'eat']"
"['itsjustfayaz', 'tweet', 'mercury']"
"['ewuraad', 'didnt', 'treat', 'beginning', 'pisces', 'season']"
"['diagas', 'ethan']"
"['anothastan', 'throw', 'water', 'bottle', 'green', 'recycling', 'bin']"
"['farrilynmonroe', 'tweet', 'day']"
"['asmrpaula', 'thought', 'starter', 'day']"
"['antonelitagal', 'yeah', 'make', 'feel']"
"['thorcl', 'fishy', 'trident']"
"['jukatarry', 'stop']"
"['najjim', 'vitamin', 'making', 'day', 'promise']"
"['ailawho', 'thing', 'saturn', 'put', 'ring']"
"['justbanaany', 'life']"
"['usbakon', 'judge', 'planet', 'cover']"
"['stuteemishra', 'revenge', 'kicked', 'solar', 'system']"
"['anmolgogia', 'red', 'httpstcoxgbhrgcv']"
"['connorbroooks', 'blame', 'pluto']"
"['camcam', 'reached', 'mercury', 'defense', 'squad']"
['mercury']
"['liammemer', 'pic', 'didnt', 'happen']"
"['add', 'tweet', 'tweeted', 'faster', 'httpstcojktanto']"
"['chunkykongape', 'cover']"
"['yungbae', 'support']"
"['iamlordvintage', 'make', '', 'cropped']"
"['rondaline', 'late']"
"['wolfiecindy', 'talent']"
"['iamnotbenjikrol', 'toot', 'tweet']"
"['bbtheorist', 'thought', 'tangible']"
"['henry', 'sonnet', 'freestylin']"
"['juiissaxo', 'xo', 'mutuals']"
"['leeminhosslut', 'typing']"
"['shashaatt', 'myot', 'important', 'acronym']"
"['darthziel', 'page']"
"['pranjultweet', 'breaking']"
"['yoondeinert', 'hoping', 'turn', 'chat']"
"['vasilikivsl', 'making', 'move']"
"['mimamicheal', 'perfect', 'match']"
['neighbourswifi']
"['fabdeminizer', 'give', 'wrong', 'number']"
"['badicalz', 'meant']"
"['vishalsatra', 'case', 'ignore', 'tweet']"
"['thethakurain', 'giving', 'confidence']"
"['maryftaddoh', 'told', 'tweet']"
"['theearth', 'moon', 'back']"
"['mindspacemafia', '👍', 'year']"
"['profpius', 'waiting', 'dm', 'plan']"
"['misconstruedude', 'send']"
"['zynapsed', 'pick', 'place']"
"['orafaded', 'rejection', 'today', 'day']"
"['tonerozic', 'love']"
"['mehvishsyed', 'low', 'blow', 'vday']"
"['codeswiftui', 'meant']"
"['exceptioniall', 'love', 'speechless']"
"['xurarit', 'didnt', 'level']"
"['keeyys', 'screenshots', 'real']"
"['tobesolonelyyy', 'conversation', 'here', '💙\n\nsent', 'conversational', 'heart']"
"['mynamejeff', 'intro', 'complete', 'let', 'dinner']"
"['pescaracalcio', 'card']"
"['henrytwittts', 'real', 'true']"
"['danielsambar', 'show']"
['jaredbrecher']
[]
"['azureenicole', '✈️']"
"['alexisreng', 'writer', 'block', 'twitter', 'hit']"
['annabelmeschke']
"['toolzbabe', 'twitter']"
"['vantaepedia', 'study', 'break', 'alarm', 'bts', 'push']"
"['iadoreyovibes', 'important']"
"['jmuni', 'whats', 'twitter']"
"['misschrizza', 'reminder', 'exam']"
"['hoziernation', 'groundhog', 'day']"
"['ygalyssa', 'tenth', 'time', 'charm', 'httpstcoaqboau']"
"['itskeyon', 'humbling']"
"['razandahmash', 'medical', 'mystery']"
"['rushiss', 'friend']"
"['prettyxkitten', 'em']"
"['maamounyousef', 'time', 'meet', 'mutuals']"
"['joyandesstacy', 'twitter']"
"['billieoh', 'decade', 'understanding']"
"['carkgirl', 'aquarius']"
"['amymendezz', 'didnt', 'teach', 'school']"
"['havishaf', 'circle', 'life']"
"['poptartsus', 'wild', 'berry', 'flavor']"
"['shnson', 'saved', 'failed', 'relationship']"
"['buddyweekends', 'hard', 'understand', 'filter']"
['bcktdcmbr']
"['mrswinch', '🤝']"
"['bluemeth', 'mention']"
"['jaredbrecher', 'literally']"
"['jehyunist', 'wouldnt', 'happen']"
"['unkonfined', 'tweet', 'sailed']"
['asterickvivek']
['twitter']
"['rt', 'maryjustice', 'twitter', 'sends', 'screenshot', 'tweet', 'actual', 'sign', 'york', 'ave', 'amp', 'st', 'subway', 'statio…']"
"['daddyjew', 'swiping', 'tweet', 'lovetwitter', 'httpstcorrqrpwqt']"
"['jesspicado', 'laughing', 'lovetwitter', 'httpstcogdquxnnhe']"
"['arfmeasures', 'hold', 'tweet', 'lovetwitter', 'httpstcomresrzyo']"
"['matthaiostbw', 'tweet', 'problem', 'lovetwitter', 'httpstcoqbjbzcbcsq']"
"['usedwigs', 'time', 'tweet', 'lovetwitter', 'httpstconsodfec']"
"['mmorgannash', '👀', 'lovetwitter', 'httpstcozadswuw']"
"['askmewhatiwant', '👀', 'lovetwitter', 'httpstcoviibsmttb']"
"['rybrooks', 'goal', 'lovetwitter', 'httpstcojwedipdpt']"
"['wificute', 'literally', 'tweet', 'lovetwitter', 'httpstcoucuaodwhp']"
"['teaventi', 'tweet', '', 'lovetwitter', 'httpstcojjqzbuk']"
"['roobeekeane', 'lovetwitter', 'httpstcoubywwmlu']"
"['joshweller', 'follow', 'dm']"
"['alfaibrahim', 'depends', 'cuddle', 'precedes']"
"['persiansoul', 'making', 'hooking']"
"['navjhinjr', 'call', 'contact', '👀']"
"['quirkyhumour', 'kissing', 'relationship']"
"['adjarhodee', 'valentine', 'anymore', '😢']"
"['jarshkay', 'started']"
"['beeyitchhhh', 'show', 'rule', 'book']"
"['hipporbx', 'oops', 'guess', 'lied']"
"['anamikadhadwal', 'yeah', 'friendly']"
"['iaruty', 'forget', 'heartbreak', 'tweet']"
"['becroft', 'cheek']"
"['beingwaqasahmad', 'doesnt', 'night']"
"['bomiiiiie', 'coexisting', 'hooking']"
"['sleekonsocial', 'people', 'internet']"
['victorkagarama']
"['nyctravelgal', 'regret']"
"['therealist', 'arm', 'open', 'wide']"
"['baswa', 'confirmed']"
"['jaredbrecher', 'wait']"
"['paulapogi', 'tweet', 'hurt']"
"['catsuisfatsu', 'saturday', 'allowed']"
"['jukatarry', 'time']"
"['felikkse', 'hugging', 'base']"
"['hithisistriilan', 'rejection', 'rejection', '']"
"['kissing', 'hooking']"
['worked']
['test']
"['decafmari', 'mutuals']"
"['mattcornett', 'solid', 'hour', 'tweeting']"
"['jeremymclellan', 'golden', 'rule']"
"['ughholl', 'reply', 'publicist']"
"['luckyatuanya', 'person']"
"['kristapley', 'real', 'love']"
"['seokjingersnap', 'reply', 'bts', 'twitter']"
"['harryholland', 'strong', 'return']"
"['notfunnyelle', 'thinking', 'tweet']"
"['sevenkingnine', 'research']"
"['naileadevora', 'proud', 'growth', 'httpstcojblhohxo']"
"['cfmmikuen', 'hatsune', 'miku']"
['boptc']
['stephenmcgann']
['miabaga']
"['pinkmeech', 'dating', 'app']"
"['faattimah', 'dash', 'glam']"
"['kaufmanaudrey', 'find']"
"['hostarastrology', 'love']"
"['timmysmedicine', 'deep']"
"['zhairewrld', 'volume', 'scrolling🔇']"
"['drhabit', 'httpstconowffss']"
"['sabrinaakram', 'didnt', 'blue', 'tone']"
"['cloudbabey', 'groundhog', 'day', 'day', 'timeline']"
"['abbygov', 'tweet', 'chaotic', 'good', 'alignment', 'scale']"
"['burhanplays', 'twitter', 'good', 'luck', '💙']"
"['joelycett', 'soup', 'herb', 'move', 'part', 'warm', 'follower']"
"['rt', 'blackbird', 'black', 'history', 'month', '\n\nthis', 'year', 'celebrating', 'pride', 'joy', 'present', 'connecting', 'an…']"
"['jbstwocents', 'controversial']"
"['jessecuster', 'time', 'end', 'january', 'dance']"
"['emeraldjeborri', 'bookmark']"
"['boydirector', 'twitter', 'fam', 'make', 'thing', 'happen']"
"['ginnyhogan', 'friend', 'let', 'catch', 'up\nus', 'httpstcolyddaxego']"
"['jeongguii', 'httpstcozqkkqke']"
"['omegaproyt', 'oof', 'hurt']"
"['imarslansarfraz', 'swerving']"
"['owenumoh', 'approved']"
"['engkaruru', 'snoozing', 'month']"
"['dirtysouthtony', 'doublechecked', 'yup']"
"['theluzz', 'evidence']"
"['realunogame', 'earth', 'pulling', 'reverse', 'card']"
"['itskene', 'setting', 'alarm']"
"['marianjoseguro', 'time']"
"['mucheeru', 'booking', 'ticket', 'universe']"
"['hilightofficial', 'dare']"
"['owndoctor', 'hottest', 'month']"
"['kellyfosters', 'calculation', 'happy', 'summer']"
"['akesseking', 'january', 'didnt', 'listen', 'golden', 'rule']"
['jagermeisterusa']
"['swirlsoul', 'halloween', 'decade']"
"['jennaezarik', 'astronomer', 'asap']"
"['tjorgensen', 'tweet', 'february', '', 'existence']"
['tabimin']
"['lfmakhubalo', 'day', 'felt', 'january']"
"['terrythebuneary', 'cher', 'voice', 'speed', 'time', 'find']"
"['krinios', 'february', 'feel', 'rn']"
"['theearth', 'spin', 'faster']"
"['voda', 'longest', '', 'hour']"
"['wrdooo', 'year']"
"['thatmarcelbraun', 'work', 'pressure', 'february']"
"['thisisnoahevans', 'mercury']"
['january']
"['swevenpjm', 'watch', 'tv', 'television']"
"['wolfgirlgone', 'lesson', 'learned']"
"['thetuxbird', 'time']"
"['kwite', 'good']"
"['poorlycatdraw', 'game', 'tweet', 'size', 'small', 'tweet']"
"['iewislewinsky', 'confidence', 'half', 'battle', 'locked']"
"['buttrflysuga', 'study', 'timeline', 'pop', 'quiz']"
"['chrisxdrian', 'time', 'make', 'tweet', 'home']"
"['aelfredd', 'yea', 'kinda', 'point']"
"['feltgws', 'httpstcodoukelgo']"
"['ksaulscheaa', 'wildly', 'accurate']"
"['soopeeyaa', 'played']"
"['whtsnxtkris', 'scrolling', 'time', 'battle']"
"['kiamsiapboi', '🤫']"
"['caitiedelaney', 'clap']"
"['bhummie', 'wait', 'turn', '', 'bedtime', 'anymore']"
['itzslimdaddy']
"['biodunews', 'spent', '', 'second', 'rem', '😭']"
"['hylandcameron', 'tweet', 'alarm']"
"['fadhillahtalks', 'nature', 'white', 'noise', 'machine']"
"['stevezwitter', 'code', 'nap', 'time']"
"['arsenalofpeace', 'plan', 'hour']"
"['astrapboy', 'longer', '', 'character']"
"['shemjay', 'found', 'loophole']"
"['jboyempire', 'tweet']"
"['phillyszn', 'np']"
"['pramanick', 'let']"
"['itzastrx', 'sleep', 'wont']"
"['megalosansygami', 'hump', 'day', 'nap', 'middle', 'day']"
"['missbooboobear', 'wouldnt', 'tweet']"
"['nayansuthar', 'tweet', 'good']"
"['thegoodboy', 'midnight', 'breakfast', 'gt']"
"['enalpan', 'bobby', 'bos', 'reading', 'tweet', 'bobby', 'resting', 'eye']"
"['ugbespeaks', 'day', 'year']"
"['gozyankee', 'telling']"
"['amosdeguy', 'zola']"
"['callmedady', 'yeah', 'snoozing', 'alarm']"
"['yeonjuls', 'scroll']"
['sjordan']
"['butterfinger', 'sweet', 'dream']"
"['sandwitch', 'gotta', 'game', 'tomorrow']"
"['capricorn', 'continue']"
"['viralshah', 'wake']"
"['rmsbee', 'allnighter']"
"['ademolavictor', 'calling', 'night', 'early']"
"['tweet', 'bedtime']"
"['feelingfisky', 'hero', 'tweet']"
"['leneeh', 'literally', 'love']"
"['nellarose', 'elite', 'tweet', 'mood']"
"['shreyabasu', 'rome']"
"['jackmasseywelsh', 'pic', 'wont']"
"['dwvcd', 'tweet', 'page']"
"['farida', 'accidentally', 'misspell', 'letter']"
"['roobots', 'people']"
"['mekosoff', 'tweet', 'receipt']"
"['okamiwolven', 'deserve']"
"['neelkhan', 'hear']"
"['hundsnus', 'stay', 'strong']"
['imanthonyreeves']
"['jerziiii', '']"
"['prettywummex', 'wedding', 'invite']"
"['drawgregory', 'cosign']"
"['laurenjauregui', 'httpstcoapzwtiwx']"
['mukstymug']
"['rachelmillman', 'keynote', 'speaker']"
"['slimecicle', 'rock', 'solid', 'tweet']"
"['orbgoddess', 'buckle']"
"['hoemoticon', 'judgment']"
"['plaestk', 'deepest', 'thought']"
"['jidetum', 'tweet', 'smarter', 'harder']"
"['dhakkchampion', 'chapped', 'lip', 'sink', 'ship']"
"['chiragsrkian', 'leg', 'ankle']"
"['powerflame', 'cold', 'mean', 'heat', 'inside']"
"['jagdishjojawar', 'trojan', 'horse', 'filled', 'jade', 'roller']"
"['felinejay', 'game', 'today']"
"['jigglypuufffff', 'local', 'wellness', 'consultant']"
"['auntieteju', 'hair', 'mask', 'in\nface', 'mask']"
"['lfcwiii', 'cry']"
"['bond', 'dry', 'sens', 'humor', 'moisturized']"
"['aysha', 'lymphatic', 'drainage', 'motion']"
"['egorekegor', 'plant']"
"['tuminiamanda', 'soft', 'hand', 'forever']"
"['esytwts', 'inside']"
"['goatvilla', 'have', '\n', 'toner', '\n', 'serum', '\n', 'lotion', '\n', 'selflove']"
"['lucyjford', 'step', 'time']"
"['alfi', 'print', 'tweet', 'put', 'bathroom', 'mirror']"
"['josefasegovia', 'hyaluronic', 'acid']"
"['piarayensii', 'beauty', 'start', 'skin', 'skincare', 'start', 'twitter', 'twitter', 'beauty', 'app']"
['llesilantoi']
"['skinnyshimmers', 'follow']"
"['fermendkis', 'hydration', '', 'moisturization']"
"['sarrrrahbeth', 'add', 'cart']"
"['antifascism', 'forget', 'neck']"
"['dewieirig', 'applying', 'ten', 'cream', 'routine']"
"['realaaditya', 'lip', 'balm']"
